"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the 'BIPL Generated' data metric section is present in the table.","7","TC-REP-006: Validate 'BIPL Generated' Metric Column & Section Presence","tests.latest_tests","2026-09-08","passed","2026-09-08","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"","1473","TC-DEMO-NEG-01: [Negative] Validate Form Submission Blocked with Empty Mobile","tests.latest_tests","2026-09-08","passed","2026-09-08","TestLeadDemoScheduleFlow","test_lead_demo_schedule_flow","",""
"","25","TC-LEAD-001: Verify Navigation to Lead Module and Listing Table Load","tests.latest_tests","2026-09-08","passed","2026-09-08","TestCreateLeadFlow","test_create_lead_flow","",""
"Enter draft remarks, close/cancel modal, re-open modal, and verify unsaved draft was discarded.","2937","TC-RENEWAL-009: Verify Follow-Up Modal Cancellation Discards Unsaved Input","tests.latest_tests","2026-09-08","passed","2026-09-08","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Enter invalid email format (missing domain) and verify submission is blocked.","1151","TC-PAYMENT-NEG-03: Verify Invalid Email Format Rejection","tests.latest_tests","2026-09-08","passed","2026-09-08","TestPaymentLinkFlow","test_payment_link_flow","",""
"Fill customer name and valid 10-digit mobile.","553","TC-SUPPORT-002: Fill Customer Name and Valid 10-Digit Mobile","tests.latest_tests","2026-09-08","passed","2026-09-08","TestSupportTicketFlow","test_support_ticket_flow","",""
"Switch between various date ranges and product filters on the dashboard and verify table stability without errors.","5141","TC-RENEWAL-002: Verify Dynamic Date & Product Filter Switching on Renewal Dashboard","tests.latest_tests","2026-09-08","passed","2026-09-08","TestRenewalLeadFlow","test_renewal_lead_flow","",""
"Confirm TDS deduction modal and assert TDS deduction (-Rs. 1,100) and final Grand Total (Rs. 11,880).","1304","TC-PAYMENT-011: Confirm TDS Deduction & Validate 10% TDS (-Rs. 1,100) and Final Total (Rs. 11,880)","tests.latest_tests","2026-09-08","passed","2026-09-08","TestPaymentLinkFlow","test_payment_link_flow","",""
"Verify that 'Follow Up Hygiene (Assigned to First Follow Up)' is present in the table.","7","TC-REP-008: Validate 'Follow Up Hygiene (Assigned to First Follow Up)' Metric Section","tests.latest_tests","2026-09-08","passed","2026-09-08","TestOverallSummaryReportFlow","test_overall_summary_report","",""
"Verify URL is /payments/generate and 'Desktop' tab is active.","370","TC-PAYMENT-002: Verify Navigation to 'Generate Payment Link' Screen","tests.latest_tests","2026-09-08","passed","2026-09-08","TestPaymentLinkFlow","test_payment_link_flow","",""
